importance_type,feature,score
weight,chart_time_max,7.0
weight,sysbp,41.333333333333336
weight,diabp,15.444444444444443
weight,meanbp,21.555555555555557
weight,resprate,21.777777777777782
weight,heartrate,14.333333333333334
weight,spo2_pulsoxy,9.333333333333334
weight,tempc,18.555555555555554
weight,cardiacoutput,2.0
weight,tvset,4.0
weight,tvobserved,12.777777777777777
weight,tvspontaneous,5.777777777777778
weight,peakinsppressure,19.0
weight,totalpeeplevel,4.444444444444444
weight,o2flow,2.777777777777778
weight,fio2,22.0
weight,albumin,1.5555555555555556
weight,bands,0.1111111111111111
weight,bicarbonate,10.0
weight,bilirubin,5.333333333333333
weight,creatinine,5.888888888888888
weight,chloride,4.555555555555556
weight,glucose,9.888888888888888
weight,hematocrit,13.444444444444445
weight,hemoglobin,6.222222222222222
weight,lactate,17.555555555555557
weight,platelet,7.0
weight,potassium,11.333333333333334
weight,ptt,15.555555555555557
weight,inr,2.222222222222222
weight,pt,20.0
weight,sodium,6.666666666666667
weight,bun,12.444444444444443
weight,wbc,9.222222222222223
weight,creatinekinase,6.333333333333333
weight,ck_mb,2.2222222222222223
weight,fibrinogen,1.3333333333333333
weight,ldh,6.111111111111111
weight,magnesium,6.111111111111112
weight,calcium_free,13.222222222222221
weight,po2_bloodgas,21.555555555555554
weight,ph_bloodgas,14.222222222222223
weight,pco2_bloodgas,17.666666666666668
weight,so2_bloodgas,16.333333333333332
weight,troponin_t,4.0
gain,chart_time_max,7.382298363579644
gain,sysbp,129.7019546561771
gain,diabp,25.45050064722697
gain,meanbp,108.99160758654277
gain,resprate,71.20942261483934
gain,heartrate,22.895052797264523
gain,spo2_pulsoxy,15.268909547064041
gain,tempc,42.517762104670204
gain,cardiacoutput,10.855826722251045
gain,tvset,9.693545262018839
gain,tvobserved,20.162382556332485
gain,tvspontaneous,36.48966230948766
gain,peakinsppressure,87.29979866743088
gain,totalpeeplevel,27.157849709192913
gain,o2flow,10.409652683469984
gain,fio2,98.34150542153252
gain,albumin,3.0873118771447072
gain,bands,0.6895073784722222
gain,bicarbonate,75.4734567006429
gain,bilirubin,50.390281001726784
gain,creatinine,35.61123896969689
gain,chloride,15.838120818138123
gain,glucose,22.63647960291969
gain,hematocrit,20.463169700569576
gain,hemoglobin,19.295284125539993
gain,lactate,485.3404170937008
gain,platelet,14.216223385598923
gain,potassium,27.016595754358505
gain,ptt,57.618131928973725
gain,inr,18.080462402767605
gain,pt,75.10945746633742
gain,sodium,16.47671073012882
gain,bun,51.12309834692213
gain,wbc,24.518607056803173
gain,creatinekinase,45.13415145211749
gain,ck_mb,7.728692796495225
gain,fibrinogen,6.67866501543257
gain,ldh,39.27294143040975
gain,magnesium,21.150277760293747
gain,calcium_free,37.85899065600501
gain,po2_bloodgas,312.10532546043396
gain,ph_bloodgas,155.1754496296247
gain,pco2_bloodgas,197.5801530546612
gain,so2_bloodgas,72.05151842700111
gain,troponin_t,45.36974864535862
cover,chart_time_max,96.61196094089085
cover,sysbp,804.5803430345322
cover,diabp,297.68694549136694
cover,meanbp,602.6225118637085
cover,resprate,603.4820396635267
cover,heartrate,215.1773598459032
cover,spo2_pulsoxy,146.7222170829773
cover,tempc,297.5847428109911
cover,cardiacoutput,108.08782699373035
cover,tvset,125.50588109758166
cover,tvobserved,160.46481312645804
cover,tvspontaneous,366.3849199083116
cover,peakinsppressure,768.2418407864039
cover,totalpeeplevel,275.9159566561381
cover,o2flow,95.18060252401564
cover,fio2,661.2163105540806
cover,albumin,68.36901484595406
cover,bands,9.450069003634983
cover,bicarbonate,624.9578454229567
cover,bilirubin,323.7373807695177
cover,creatinine,267.15107795927264
cover,chloride,81.95715265803867
cover,glucose,196.37267017364502
cover,hematocrit,158.91195681360034
cover,hemoglobin,146.22091595331827
cover,lactate,918.8047386805216
cover,platelet,153.38083497683206
cover,potassium,203.52309544881186
cover,ptt,554.1072625584072
cover,inr,120.29522630903455
cover,pt,642.9077235327827
cover,sodium,124.33510772387187
cover,bun,457.03856404622394
cover,wbc,192.72188737657336
cover,creatinekinase,405.0788740052117
cover,ck_mb,77.23658042483859
cover,fibrinogen,96.60480160183376
cover,ldh,510.93415111965606
cover,magnesium,162.354452530543
cover,calcium_free,392.0772722562154
cover,po2_bloodgas,1463.1774812274507
cover,ph_bloodgas,1109.3960334459941
cover,pco2_bloodgas,1527.9127706951565
cover,so2_bloodgas,888.7952934900919
cover,troponin_t,452.1775277985467
